#Volcano Location:
#	Northing: 1381862.00
#	Easting: 532596.00

# easting northing mass(kg/m^2)
526774 1381087 531.74
526028 1380972 286.00
525477 1380291 498.23
524516 1379866 248.27
523595 1379462 245.58
522674 1379481 235.00
521642 1379304 171.60
520715 1378964 120.24
519877 1378201 62.85
520742 1379432 160.82
520990 1380130 155.96
520892 1381127 167.18
521902 1382109 71.26
522118 1379921 157.04
523973 1380489 264.24
525162 1380976 255.77
525544 1381476 252.60
525760 1382320 152.96
524400 1382378 275.93
523387 1382182 193.02
522453 1381550 147.72
521894 1380712 170.75
529889 1379931 246.92
529139 1380417 831.91
528622 1380874 1432.94
527524 1380945 737.68
526823 1381601 387.35
526524 1381709 329.57
524433 1381454 239.61
523722 1381349 276.09
528142 1381657 692.82
529178 1382180 724.81
529811 1382324 819.67
530232 1382772 373.50
530418 1383102 753.29
531371 1382795 850.88
529666 1383245 418.74
528975 1383175 383.48
522302 1377932 142.72
528159 1380191 919.83
527137 1380167 679.33
526109 1380543 550.10
525983 1379744 572.99
524920 1379122 256.05
523983 1378749 246.08
523174 1379228 250.31
522536 1378550 367.06
521505 1378499 274.43
521747 1377510 250.43
522806 1377761 146.92
523894 1377922 238.07
524826 1378577 284.53
525759 1378887 225.22
526664 1378620 328.88
527927 1379208 434.37
528574 1379238 215.71
530429 1379430 343.03
531058 1380228 97.82
530597 1380732 588.65
531878 1381004 282.42
531201 1381246 307.30
530293 1381534 1872.39
529451 1381172 1498.81
530518 1380992 620.23
521537 1376665 89.40
522559 1376999 12.45
523856 1377173 38.16
524591 1377489 107.42
525564 1377877 328.26
526899 1379123 321.21
524505 1380950 298.16
522646 1380659 288.55
526416 1382894 441.89
527536 1383362 562.20
527796 1382127 835.70
527021 1381806 541.10
528675 1382740 419.25
528763 1384430 116.63
526617 1379772 641.81
