name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
PUMDENA,3,0.0440228,2.91195,3.08805,2.90309,0.0427115,2.81767,2.98851
LITHDENA,3.41497,0.0167367,3.3815,3.44845,3.38021,0.0163468,3.34752,3.4129
PUMDENB,3,0.0440228,2.91195,3.08805,3.0729,0.043547,2.9858,3.15999
LITHDENB,3.41497,0.0167367,3.3815,3.44845,3.38021,0.0167058,3.3468,3.41362
MEDIAN_GA,-0.5,1,-2.5,1.5,-0.304199,0.0742184,-0.452635,-0.155762
MEDIAN_GB,-0.5,1,-2.5,1.5,-0.235343,0.212208,-0.659758,0.189073
WS_B_00,0.69897,0.61928,-0.539591,1.93753,0.550034,0.495742,-0.44145,1.54152
WS_B_01,0.69897,0.61928,-0.539591,1.93753,0.543918,0.417865,-0.291813,1.37965
WS_B_02,0.69897,0.61928,-0.539591,1.93753,0.761417,0.326204,0.109009,1.41382
WS_B_03,0.69897,0.61928,-0.539591,1.93753,0.86968,0.275834,0.318011,1.42135
WS_B_04,0.69897,0.61928,-0.539591,1.93753,0.906924,0.386774,0.133376,1.68047
WS_B_05,0.90309,0.294023,0.315044,1.49114,1.19088,0.179045,0.832788,1.54897
WS_B_06,0.90309,0.294023,0.315044,1.49114,1.08902,0.238719,0.611582,1.56646
WS_B_07,0.90309,0.294023,0.315044,1.49114,1.0026,0.275254,0.452093,1.55311
WS_B_08,0.90309,0.294023,0.315044,1.49114,1.39407,0.292678,0.808713,1.97942
WS_B_09,1.14613,0.194538,0.757052,1.5352,1.14613,0.194538,0.757052,1.5352
WS_B_10,1.14613,0.194538,0.757052,1.5352,1.14613,0.194538,0.757052,1.5352
WS_B_11,1.14613,0.194538,0.757052,1.5352,1.14613,0.194538,0.757052,1.5352
WS_B_12,1.14613,0.194538,0.757052,1.5352,1.14613,0.194538,0.757052,1.5352
WS_B_13,1.30103,0.225772,0.849485,1.75257,1.30103,0.225772,0.849485,1.75257
WS_B_14,1.30103,0.225772,0.849485,1.75257,1.30103,0.225772,0.849485,1.75257
