Sample Name:,1-27-01A,1-27-01B,1-27-02A,1-27-02B,1-27-03A,1-27-03B,1-27-04A,1-27-04B,1-27-05A,1-27-05B,1-27-06A,1-27-06B,1-27-07 M,1-27-08 M,1-27-09 M,1-27-10 M,1-27-11 M,1-27-12 M,1-27-13 M,1-27-14 M,1-27-15A,1-27-15B,1-27-16B,1-27-17A,1-27-17B,1-27-18 M,1-27-19 M,1-27-20 M,1-27-21 M,1-27-22 M,1-28-23B,1-28-24 M,1-28-25 M,1-28-26 M,1-28-27A,1-28-27B,1-28-28A,1-28-28B,1-28-29A,1-28-29B,1-28-30 M,1-28-31A,1-28-31B,1-28-32A,1-28-32B,1-28-33A,1-28-33B,1-28-34A,1-28-34B,1-28-35 M,1-28-36A,1-28-36B,1-28-37A,1-28-37B,1-28-38 M,1-30-39 M,1-30-40 M,1-30-41 M,1-30-42A,1-30-42B,1-30-43A,1-30-43B,1-30-44A,1-30-44B,1-30-45 M,1-30-46 M,1-30-47 M,1-30-48 M,1-30-49 M,1-30-50 M,1-30-51 M,1-30-52 M,1-30-53 M,1-30-54 M,1-30-55 M,1-30-56 M,1-31-57 M,1-31-59 M,1-31-60A,1-31-60B,1-31-62A,1-31-62B,1-31-63 M,1-31-64 M,1-31-65 M,2-2-66 M,2-2-67 M,2-2-68 M,2-2-69 M,2-2-70 M,2-2-71 M,2-2-72A,2-2-72B,2-2-73 M,2-2-74A,2-2-74B,2-2-75 M,2-2-76 M,2-2-77 M,2-2-78 M,2-2-79 M,2-2-80 M
Total Measured Weight:,1924.0,2288.0,505.0,375.0,389.0,336.0,335.0,334.0,358.0,360.0,369.0,366.0,362.0,368.0,367.0,369.0,370.0,348.7,368.0,357.6,370.0,377.6,367.0,333.6,367.4,375.4,368.0,371.0,384.3,350.9,365.6,366.8,375.0,378.4,336.2,352.7,368.0,351.0,366.0,347.0,342.7,354.5,356.0,357.2,362.0,375.0,373.0,383.2,389.0,360.7,463.4,341.0,372.0,368.0,373.0,358.6,357.8,328.9,333.2,345.0,344.4,388.4,356.3,338.1,346.9,349.5,339.6,381.4,319.1,350,374.5,338.7,346.7,339.4,342.1,373.9,335.7,378.0,381.8,351.8,370.8,372.3,357.1,389.1,383.4,320.1,363.2,356.3,383.6,370.5,316.1,349.2,343.6,314.2,353.6,358.9,335.7,363.6,360.3,362.2,371.1,370.2
-4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.8,15.1,0.0,13.7,0.0,2.3,0.0,0.0,4.9,0.0,0.0,0.0,11.7,0.0,10.7,6.6,0.0,125.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,0.0,99.2,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0
-3.5,20.0,0.0,3.3,0.0,1.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.0,4.3,7.7,0.0,5.7,0.0,1.9,0.0,0.0,6.4,0.0,0.0,1.5,7.1,3.1,15.1,3.1,4.3,40.1,5.0,2.5,0.0,0.8,0.0,2.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,41.5,1.1,4.8,15.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,4.4,2.2,0.0,0.0
-3.0,73.5,10.1,14.5,1.9,1.6,1.4,0.8,0.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,5.3,7.2,1.2,0.6,0.8,0.9,0.0,0.0,0.0,13.7,7.4,15.5,24.3,0.5,17.9,0.4,8.0,0.0,2.8,24.2,2.3,3.3,3.2,16.7,9.6,28.5,5.6,11.9,44.1,7.3,5.4,2.7,0.5,0.0,3.3,2.7,3.8,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.3,0.0,0.0,1.1,0.0,1.2,58.2,0.0,41.4,5.7,13.5,17.2,26.6,0.0,0.0,0.0,0.0,0.0,0.5,2.4,0.0,0.0,0.0,0.4,1.2,4.4,16.9,3.6,2.2,0.0
-2.5,283.9,62.7,26.0,9.1,9.1,1.6,2.7,1.4,4.3,0.0,3.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.3,7.0,4.5,12.6,19.7,7.1,3.0,3.8,2.0,0.0,0.6,0.0,24.2,14.0,21.6,42.8,2.3,33.2,1.8,22.9,1.0,4.1,50.7,1.0,11.7,10.0,28.2,15.8,48.0,18.2,22.3,51.9,23.8,13.4,5.5,2.5,0.0,10.5,4.4,6.8,9.1,2.0,0.0,0.5,0.5,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.4,1.4,0.5,1.7,5.6,0.4,1.5,62.5,3.8,46.8,13.3,20.1,37.3,45.7,0.0,0.0,0.0,0.0,0.0,0.1,7.5,0.3,0.3,2.6,0.0,3.4,8.9,20.3,10.4,5.9,2.3
-2.0,229.1,136.0,53.9,20.3,17.3,4.1,7.8,5.2,7.8,0.7,5.2,1.7,0.3,0.0,0.0,0.1,0.8,0.5,0.6,3.0,13.2,11.8,26.1,41.8,13.5,8.0,8.6,4.0,1.2,2.0,0.4,34.8,29.1,26.1,51.4,7.7,45.5,2.6,53.6,2.4,14.7,64.5,5.0,21.0,20.6,45.2,26.0,56.6,23.8,38.0,45.3,34.5,22.2,14.1,4.8,0.0,17.7,8.3,21.7,16.4,4.9,1.6,2.0,1.7,0.5,1.1,0.4,1.0,0.0,0.8,0.9,0.3,2.4,0.9,4.4,7.4,0.8,3.7,61.5,6.2,38.7,25.1,33.5,47.3,62.1,0.5,0.3,0.1,0.1,0.1,2.6,18.6,0.8,1.3,6.0,1.2,11.1,18.9,28.3,25.3,11.1,7.2
-1.5,436.0,240.0,97.3,52.3,34.7,14.6,19.4,14.2,17.8,4.1,12.2,5.0,1.8,1.3,0.1,0.8,2.7,3.7,4.0,9.7,36.2,32.8,50.1,72.6,34.3,21.1,17.7,13.1,3.4,7.9,2.2,55.9,54.0,54.8,60.1,14.1,79.0,7.7,82.1,9.9,33.1,76.3,17.1,44.3,41.0,73.8,49.6,71.8,30.7,55.8,45.2,50.6,40.4,27.3,10.3,0.7,39.9,27.3,44.5,35.9,12.8,3.8,7.1,4.6,3.3,4.8,1.3,1.5,1.0,1.3,1.9,1.2,7.7,3.1,17.6,14.5,3.3,12.3,61.2,16.2,32.5,52.9,58.4,76.3,78.1,0.3,1.1,0.8,0.9,0.8,8.4,48.7,3.6,6.2,17.3,4.0,18.7,40.2,44.8,52.8,26.2,15.4
-1.0,373.7,404.0,104.0,106.0,56.5,32.5,36.1,34.3,36.3,17.9,29.7,20.8,8.8,6.9,1.0,4.8,9.5,12.7,14.0,26.9,85.0,69.3,75.5,69.1,57.8,40.5,36.1,20.8,11.9,19.0,7.6,62.0,68.0,71.3,52.0,27.5,78.5,16.8,85.3,24.2,55.0,58.0,40.4,66.8,62.6,71.3,66.3,61.7,42.6,69.4,37.6,50.4,57.1,43.5,22.1,2.1,60.1,57.5,71.6,55.2,25.9,12.0,22.5,11.5,14.3,14.4,2.9,5.3,3.0,5.3,4.8,4.2,18.3,10.0,39.3,19.5,6.7,27.1,38.7,28.6,24.7,72.3,67.3,74.7,68.3,1.0,2.7,2.0,1.2,2.1,21.0,74.4,10.9,18.0,37.4,9.3,29.3,52.0,51.3,71.2,48.3,31.8
-0.5,229.2,534.0,95.0,74.0,83.7,63.9,74.9,64.8,62.3,54.3,63.9,55.3,42.1,21.3,4.6,17.7,37.6,45.3,41.7,65.4,107.5,109.7,86.2,50.6,86.4,71.6,69.6,39.6,29.3,4.5,19.2,72.3,78.5,80.7,42.3,52.1,53.8,43.0,68.2,52.7,72.0,39.0,72.5,81.4,79.6,62.6,71.6,46.0,62.4,71.2,29.8,50.9,65.4,66.1,46.7,6.5,81.6,85.1,90.9,85.1,55.5,27.5,51.1,26.7,41.4,43.9,6.8,15.7,9.4,12.7,11.1,10.9,41.7,27.8,67.4,26.4,16.5,56.3,22.4,51.4,17.5,93.6,72.3,65.9,40.8,3.1,5.2,4.7,3.2,7.4,48.9,91.5,26.0,47.1,65.9,22.7,39.9,77.1,52.9,75.6,80.1,61.5
0.0,136.9,376.0,47.0,49.4,80.4,72.0,68.5,81.0,81.2,82.4,77.1,101.7,109.5,51.0,17.9,49.4,67.7,70.4,79.5,101.8,70.5,89.6,63.1,29.1,70.0,79.4,81.8,50.5,46.3,60.3,52.2,55.4,59.9,52.8,21.4,78.1,23.6,68.2,27.2,82.9,53.7,16.2,81.6,67.0,62.2,32.9,56.1,25.1,64.6,51.6,18.5,42.1,71.2,67.7,63.2,13.9,68.8,73.0,56.3,71.7,78.8,50.4,71.7,57.2,71.5,75.8,17.2,37.6,28.1,29.7,27.9,27.3,66.4,53.0,71.4,30.8,36.0,75.4,11.0,64.7,11.4,68.9,49.0,35.0,17.2,6.6,11.2,10.0,8.8,19.7,70.7,59.8,43.5,72.0,69.0,44.7,40.0,73.7,44.0,52.5,83.7,72.5
