name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
PUMDENA,3,0.0440228,2.91195,3.08805,2.90309,0.0439287,2.81523,2.99095
LITHDENA,3.41497,0.0167367,3.3815,3.44845,3.44716,0.0167352,3.41369,3.48063
PUMDENB,3,0.0440228,2.91195,3.08805,2.90309,0.0438663,2.81536,2.99082
LITHDENB,3.41497,0.0167367,3.3815,3.44845,3.44716,0.0167363,3.41369,3.48063
MEDIAN_GA,-0.5,1,-2.5,1.5,-0.093448,0.94698,-1.98741,1.80051
MEDIAN_GB,-0.5,1,-2.5,1.5,-0.295338,0.903686,-2.10271,1.51203
WS_B_00,0.69897,0.61928,-0.539591,1.93753,0.475263,0.611992,-0.74872,1.69925
WS_B_01,0.69897,0.61928,-0.539591,1.93753,1.00362,0.447991,0.107641,1.89961
WS_B_02,0.69897,0.61928,-0.539591,1.93753,0.976341,0.570704,-0.165067,2.11775
WS_B_03,0.69897,0.61928,-0.539591,1.93753,1.04949,0.562798,-0.0761033,2.17509
WS_B_04,0.69897,0.61928,-0.539591,1.93753,0.984776,0.573375,-0.161974,2.13153
WS_B_05,0.90309,0.294023,0.315044,1.49114,1.10999,0.284688,0.540611,1.67936
WS_B_06,0.90309,0.294023,0.315044,1.49114,0.850758,0.291521,0.267716,1.4338
WS_B_07,0.90309,0.294023,0.315044,1.49114,0.869732,0.292702,0.284328,1.45514
WS_B_08,0.90309,0.294023,0.315044,1.49114,0.893966,0.293426,0.307114,1.48082
WS_B_09,1.14613,0.194538,0.757052,1.5352,1.11891,0.194456,0.730001,1.50783
WS_B_10,1.14613,0.194538,0.757052,1.5352,1.13938,0.194536,0.750307,1.52845
WS_B_11,1.14613,0.194538,0.757052,1.5352,1.14613,0.194538,0.757052,1.5352
WS_B_12,1.14613,0.194538,0.757052,1.5352,1.14613,0.194538,0.757052,1.5352
WS_B_13,1.30103,0.225772,0.849485,1.75257,1.30103,0.225772,0.849485,1.75257
WS_B_14,1.30103,0.225772,0.849485,1.75257,1.30103,0.225772,0.849485,1.75257
WS_B_15,1.30103,0.225772,0.849485,1.75257,1.30103,0.225772,0.849485,1.75257
FALL_TIMA,3.47712,0.211275,3.05457,3.89967,3.08044,0.140464,2.79951,3.36137
FALL_TIMB,3.47712,0.211275,3.05457,3.89967,3.43813,0.211274,3.01558,3.86067
PLUME_HEA,3.8451,0.13072,3.58366,4.10654,3.96848,0.120545,3.72739,4.20957
PLUME_HEB,3.8451,0.13072,3.58366,4.10654,4,0.120753,3.75849,4.24151
DIFFUSIOA,3,1.25,0.5,5.5,3.56513,0.44175,2.68163,4.44863
DIFFUSIOB,3,1.25,0.5,5.5,3.05695,0.299995,2.45696,3.65694
WD_B_00,2.4183,0.102544,2.21321,2.62339,2.52456,0.0986275,2.3273,2.72181
WD_B_01,2.4183,0.102544,2.21321,2.62339,2.47007,0.0856945,2.29869,2.64146
WD_B_02,2.4183,0.102544,2.21321,2.62339,2.34083,0.0917687,2.15729,2.52437
WD_B_03,2.4183,0.102544,2.21321,2.62339,2.38715,0.0889087,2.20933,2.56497
WD_B_04,2.4183,0.102544,2.21321,2.62339,2.4204,0.0913905,2.23762,2.60318
WD_B_05,2.4183,0.102544,2.21321,2.62339,2.45663,0.0912636,2.2741,2.63915
WD_B_06,2.4183,0.102544,2.21321,2.62339,2.32344,0.099337,2.12477,2.52212
WD_B_07,2.4183,0.102544,2.21321,2.62339,2.34369,0.100651,2.14239,2.545
WD_B_08,2.4183,0.102544,2.21321,2.62339,2.46193,0.100957,2.26002,2.66385
WD_B_09,2.4183,0.102544,2.21321,2.62339,2.58132,0.101936,2.37745,2.78519
WD_B_10,2.4183,0.102544,2.21321,2.62339,2.50298,0.102506,2.29796,2.70799
WD_B_11,2.4183,0.102544,2.21321,2.62339,2.4183,0.102544,2.21321,2.62339
